id, key_number, value_size, put_duration[ms], get_duration[ms]
1671017511033, 20, 20, 737.0208125114441, 1.8512039184570312 
1671017511456, 20, 20, 416.7611675262451, 0.9978752136230469 
1671017511820, 20, 20, 361.968026638031, 0.9118132591247559 
1671017512191, 20, 20, 368.11661529541016, 0.8134264945983887 
1671017512524, 20, 20, 330.42067098617554, 0.9490528106689453 
1671017512906, 20, 20, 377.746066570282, 1.1813817024230957 
1671017513340, 20, 20, 430.00373363494873, 1.4118571281433105 
1671017513731, 20, 20, 387.05634117126465, 0.9213719367980957 
1671017514090, 20, 20, 356.08956241607666, 1.544576644897461 
1671017514486, 20, 20, 392.99454069137573, 1.2239274978637695 
1671017515048, 30, 20, 558.7340865135193, 0.8501596450805664 
1671017515802, 30, 20, 750.474925994873, 1.14408540725708 
1671017516338, 30, 20, 533.7913374900818, 0.8880257606506348 
1671017516883, 30, 20, 539.3223452568054, 0.8404831886291504 
1671017517408, 30, 20, 522.6262049674988, 0.7750973701477051 
1671017517932, 30, 20, 521.4317846298218, 0.8175373077392578 
1671017518495, 30, 20, 560.7574038505554, 0.9892134666442871 
1671017519058, 30, 20, 560.0722103118896, 1.133007526397705 
1671017519615, 30, 20, 554.0027437210083, 0.9129071235656738 
1671017520645, 30, 20, 1028.617018699646, 0.803077220916748 
1671017521472, 40, 20, 823.9537053108215, 1.056447982788086 
1671017522181, 40, 20, 706.6718516349792, 0.7979459762573242 
1671017522958, 40, 20, 774.3162207603455, 0.7217116355895996 
1671017524017, 40, 20, 1056.5131182670593, 1.0889854431152344 
1671017524730, 40, 20, 709.6304140090942, 1.157944679260254 
1671017525454, 40, 20, 721.6141037940979, 0.8852319717407227 
1671017526219, 40, 20, 762.433614730835, 0.759796142578125 
1671017526925, 40, 20, 704.3500032424927, 0.7112030982971191 
1671017527655, 40, 20, 727.6443099975586, 0.8523616790771484 
1671017528739, 40, 20, 1081.005142211914, 0.7463383674621582 